event_file,location
MEG0025_10,temporal
MEG0025_8,temporal
MEG0025_19,temporal
MEG0026_8,temporal
MEG0026_14,temporal
MEG0026_4,temporal
MEG0026_10,temporal
MEG0026_6,temporal
MEG0026_3,temporal
MEG0026_7,temporal
MEG0032_198,temporal
MEG0032_43,temporal
MEG0032_282,temporal
MEG0032_277,temporal
MEG0032_341,temporal
MEG0032_200,temporal
MEG0032_107,temporal
MEG0032_129,temporal
MEG0032_301,temporal
MEG0032_192,temporal
MEG0032_15,temporal
MEG0032_126,temporal
MEG0032_88,temporal
MEG0032_39,temporal
MEG0032_322,temporal
MEG0032_158,temporal
MEG0032_239,temporal
MEG0032_197,temporal
MEG0032_257,temporal
MEG0032_97,temporal
MEG0032_295,temporal
MEG0032_327,temporal
MEG0032_268,temporal
MEG0032_376,temporal
MEG0032_165,temporal
MEG0032_10,temporal
MEG0032_321,temporal
MEG0032_359,temporal
MEG0032_377,temporal
MEG0032_70,temporal
MEG0032_14,temporal
MEG0032_150,temporal
MEG0032_135,temporal
MEG0032_358,temporal
MEG0032_272,temporal
MEG0032_119,temporal
MEG0032_205,temporal
MEG0032_307,temporal
MEG0032_46,temporal
MEG0032_223,temporal
MEG0032_81,temporal
MEG0032_189,temporal
MEG0032_167,temporal
MEG0032_226,temporal
MEG0032_161,temporal
MEG0032_314,temporal
MEG0032_232,temporal
MEG0032_159,temporal
MEG0032_18,temporal
MEG0032_136,temporal
MEG0032_380,temporal
MEG0032_363,temporal
MEG0032_147,temporal
MEG0032_309,temporal
MEG0032_213,temporal
MEG0032_170,temporal
MEG0032_76,temporal
MEG0032_234,temporal
MEG0032_328,temporal
MEG0032_306,temporal
MEG0032_288,temporal
MEG0032_173,temporal
MEG0032_139,temporal
MEG0032_285,temporal
MEG0032_185,temporal
MEG0032_387,temporal
MEG0032_364,temporal
MEG0032_75,temporal
MEG0032_3,temporal
MEG0032_386,temporal
MEG0032_84,temporal
MEG0032_388,temporal
MEG0032_38,temporal
MEG0032_248,temporal
MEG0032_144,temporal
MEG0032_382,temporal
MEG0032_1,temporal
MEG0032_54,temporal
MEG0032_300,temporal
MEG0032_324,temporal
MEG0032_204,temporal
MEG0032_233,temporal
MEG0032_95,temporal
MEG0032_319,temporal
MEG0032_177,temporal
MEG0032_118,temporal
MEG0032_64,temporal
MEG0032_371,temporal
MEG0032_370,temporal
MEG0032_207,temporal
MEG0032_148,temporal
MEG0032_304,temporal
MEG0032_308,temporal
MEG0032_292,temporal
MEG0032_127,temporal
MEG0032_29,temporal
MEG0032_25,temporal
MEG0032_215,temporal
MEG0032_40,temporal
MEG0032_61,temporal
MEG0032_333,temporal
MEG0032_49,temporal
MEG0032_355,temporal
MEG0032_284,temporal
MEG0032_210,temporal
MEG0032_345,temporal
MEG0032_180,temporal
MEG0032_302,temporal
MEG0032_113,temporal
MEG0032_305,temporal
MEG0032_99,temporal
MEG0032_259,temporal
MEG0032_385,temporal
MEG0032_109,temporal
MEG0032_12,temporal
MEG0032_296,temporal
MEG0032_166,temporal
MEG0032_214,temporal
MEG0032_105,temporal
MEG0032_315,temporal
MEG0032_142,temporal
MEG0032_275,temporal
MEG0032_80,temporal
MEG0032_108,temporal
MEG0032_247,temporal
MEG0032_131,temporal
MEG0032_313,temporal
MEG0032_372,temporal
MEG0032_340,temporal
MEG0032_350,temporal
MEG0032_244,temporal
MEG0032_52,temporal
MEG0032_57,temporal
MEG0032_11,temporal
MEG0032_89,temporal
MEG0032_246,temporal
MEG0032_130,temporal
MEG0032_41,temporal
MEG0032_297,temporal
MEG0032_164,temporal
MEG0032_143,temporal
MEG0032_312,temporal
MEG0032_209,temporal
MEG0032_236,temporal
MEG0032_125,temporal
MEG0032_92,temporal
MEG0032_153,temporal
MEG0032_31,temporal
MEG0032_211,temporal
MEG0032_243,temporal
MEG0032_310,temporal
MEG0032_217,temporal
MEG0032_289,temporal
MEG0032_37,temporal
MEG0032_256,temporal
MEG0032_291,temporal
MEG0032_154,temporal
MEG0032_141,temporal
MEG0032_21,temporal
MEG0032_356,temporal
MEG0032_101,temporal
MEG0032_35,temporal
MEG0032_36,temporal
MEG0032_82,temporal
MEG0032_206,temporal
MEG0032_60,temporal
MEG0032_299,temporal
MEG0032_120,temporal
MEG0032_85,temporal
MEG0032_8,temporal
MEG0032_381,temporal
MEG0032_59,temporal
MEG0032_5,temporal
MEG0032_274,temporal
MEG0032_33,temporal
MEG0032_311,temporal
MEG0032_287,temporal
MEG0032_357,temporal
MEG0032_151,temporal
MEG0032_116,temporal
MEG0032_172,temporal
MEG0032_266,temporal
MEG0032_91,temporal
MEG0032_17,temporal
MESC0007_0,temporal
MESC0007_3,temporal
MESC0013_2,temporal
MESC0013_3,temporal
MESC0013_4,temporal
MUSC0004_3,temporal
MUSC0004_1,temporal
NYU0014_34,temporal
NYU0014_30,temporal
NYU0014_27,temporal
NYU0014_59,temporal
NYU0014_53,temporal
NYU0014_43,temporal
NYU0014_31,temporal
NYU0014_3,temporal
NYU0014_56,temporal
NYU0014_4,temporal
NYU0014_58,temporal
NYU0014_65,temporal
NYU0014_28,temporal
NYU0014_25,temporal
NYU0032_42,temporal
NYU0032_30,temporal
NYU0032_21,temporal
NYU0032_31,temporal
NYU0032_41,temporal
NYU0032_37,temporal
NYU0032_27,temporal
NYU0032_26,temporal
NYU0032_12,temporal
NYU0032_3,temporal
NYU0032_39,temporal
NYU0032_18,temporal
NYU0032_1,temporal
NYU0032_20,temporal
NYU0032_32,temporal
NYU0032_24,temporal
NYU0032_45,temporal
NYU0032_36,temporal
NYU0032_46,temporal
NYU0032_7,temporal
NYU0032_17,temporal
NYU0032_6,temporal
NYU0032_23,temporal
NYU0041_6,temporal
NYU0041_28,temporal
NYU0041_21,temporal
RMH0002_8,temporal
RMH0002_0,temporal
RMH0002_2,temporal
RMH0002_14,temporal
RMH0009_0,temporal
UAB0005_87,temporal
UAB0005_197,temporal
UAB0005_161,temporal
UAB0005_543,temporal
UAB0005_582,temporal
UAB0005_270,temporal
UAB0005_12,temporal
UAB0005_580,temporal
UAB0005_265,temporal
UAB0005_599,temporal
UAB0005_56,temporal
UAB0005_178,temporal
UAB0005_162,temporal
UAB0005_448,temporal
UAB0005_189,temporal
UAB0005_581,temporal
UAB0005_42,temporal
UAB0005_105,temporal
UAB0005_170,temporal
UAB0005_526,temporal
UAB0005_514,temporal
UAB0005_118,temporal
UAB0005_425,temporal
UAB0005_245,temporal
UAB0005_490,temporal
UAB0005_116,temporal
UAB0005_158,temporal
UAB0005_61,temporal
UAB0005_138,temporal
UAB0005_427,temporal
UAB0005_9,temporal
UAB0005_16,temporal
UAB0005_209,temporal
UAB0005_253,temporal
UAB0005_362,temporal
UAB0005_23,temporal
UAB0005_120,temporal
UAB0005_296,temporal
UAB0005_230,temporal
UAB0005_37,temporal
UAB0005_467,temporal
UAB0005_302,temporal
UAB0005_487,temporal
UAB0005_53,temporal
UAB0005_201,temporal
UAB0005_321,temporal
UAB0005_274,temporal
UAB0005_111,temporal
UAB0005_114,temporal
UAB0005_475,temporal
UAB0005_492,temporal
UAB0005_110,temporal
UAB0005_54,temporal
UAB0005_196,temporal
UAB0005_246,temporal
UAB0005_370,temporal
UAB0005_194,temporal
UAB0005_355,temporal
UAB0005_273,temporal
UAB0005_115,temporal
UAB0005_414,temporal
UAB0005_417,temporal
UAB0005_354,temporal
UAB0005_31,temporal
UAB0006_208,temporal
UAB0006_2,temporal
UAB0006_17,temporal
UAB0006_150,temporal
UAB0006_191,temporal
UAB0006_229,temporal
UAB0006_7,temporal
UAB0006_131,temporal
UAB0006_138,temporal
UAB0006_137,temporal
UAB0006_46,temporal
UAB0006_79,temporal
UAB0006_45,temporal
UAB0006_251,temporal
UAB0006_195,temporal
UAB0006_239,temporal
UAB0006_235,temporal
UAB0006_63,temporal
UAB0006_125,temporal
UAB0006_252,temporal
UAB0006_8,temporal
UAB0006_230,temporal
UAB0006_192,temporal
UAB0006_88,temporal
UAB0008_5,temporal
UAB0008_2,temporal
UAB0008_9,temporal
UAB0008_8,temporal
UAB0008_3,temporal
UAB0014_1,temporal
UAB0014_3,temporal
UAB0014_2,temporal
UCSF0001_1,temporal
UCSF0001_21,temporal
UCSF0001_9,temporal
UCSF0001_40,temporal
UCSF0001_19,temporal
UCSF0001_17,temporal
UCSF0001_18,temporal
UCSF0001_35,temporal
UCSF0001_10,temporal
UCSF0001_43,temporal
UCSF0001_4,temporal
UCSF0001_0,temporal
UCSF0001_39,temporal
UCSF0001_31,temporal
UCSF0001_7,temporal
UCSF0001_33,temporal
UCSF0001_15,temporal
UCSF0001_2,temporal
UCSF0021_37,temporal
UCSF0021_35,temporal
UCSF0021_42,temporal
UCSF0021_12,temporal
UCSF0046_10,temporal
UCSF0046_14,temporal
UMIA0011_3,temporal
UMICH0005_5,temporal
UMICH0005_4,temporal
UMICH0008_9,temporal
UMICH0008_11,temporal
UMICH0008_6,temporal
UMICH0008_2,temporal
UMICH0009_8,temporal
UMICH0009_4,temporal
UMICH0009_9,temporal
UMICH0009_1,temporal
UMICH0009_6,temporal
UTHSC0001_0,temporal
UTHSC0001_1,temporal
UTHSC0001_2,temporal
UTHSC0001_6,temporal
UWO0010_1,temporal
VAN0016_326,temporal
VAN0016_184,temporal
VAN0016_349,temporal
VAN0016_47,temporal
VAN0016_502,temporal
VAN0016_419,temporal
VAN0016_471,temporal
VAN0016_57,temporal
VAN0016_285,temporal
VAN0016_25,temporal
VAN0016_355,temporal
VAN0016_391,temporal
VAN0016_402,temporal
VAN0016_445,temporal
VAN0016_268,temporal
VAN0016_83,temporal
VAN0016_325,temporal
VAN0016_346,temporal
VAN0016_67,temporal
VAN0016_399,temporal
VAN0016_160,temporal
VAN0016_5,temporal
VAN0016_166,temporal
VAN0016_14,temporal
VAN0016_246,temporal
VAN0016_18,temporal
VAN0016_379,temporal
VAN0016_169,temporal
VAN0016_357,temporal
VAN0016_478,temporal
VAN0016_430,temporal
VAN0016_274,temporal
VAN0016_126,temporal
VAN0016_288,temporal
VAN0016_91,temporal
VAN0016_65,temporal
VAN0016_505,temporal
VAN0016_467,temporal
VAN0016_225,temporal
VAN0016_287,temporal
VAN0016_465,temporal
VAN0016_37,temporal
VAN0016_439,temporal
VAN0016_331,temporal
VAN0016_216,temporal
VAN0016_209,temporal
VAN0016_93,temporal
VAN0016_310,temporal
VAN0016_338,temporal
VAN0016_396,temporal
VAN0016_186,temporal
VAN0016_321,temporal
VAN0016_334,temporal
VAN0016_496,temporal
VAN0016_19,temporal
VAN0016_176,temporal
VAN0016_432,temporal
VAN0016_78,temporal
VAN0016_506,temporal
VAN0016_448,temporal
VAN0016_434,temporal
VAN0016_339,temporal
VAN0016_64,temporal
VAN0016_164,temporal
VAN0016_10,temporal
VAN0016_144,temporal
VAN0016_394,temporal
VAN0016_50,temporal
VAN0016_79,temporal
VAN0016_143,temporal
VAN0016_463,temporal
VAN0016_452,temporal
VAN0016_294,temporal
VAN0016_291,temporal
VAN0016_486,temporal
VAN0016_2,temporal
VAN0016_202,temporal
VAN0016_258,temporal
VAN0016_270,temporal
VAN0016_39,temporal
VAN0016_58,temporal
VAN0016_358,temporal
VAN0016_197,temporal
VAN0016_207,temporal
VAN0016_119,temporal
VAN0016_150,temporal
VAN0016_130,temporal
VAN0016_376,temporal
VAN0016_31,temporal
VAN0016_61,temporal
VAN0016_125,temporal
VAN0016_106,temporal
VAN0016_40,temporal
VAN0016_481,temporal
VAN0016_17,temporal
VAN0016_405,temporal
VAN0016_69,temporal
VAN0016_508,temporal
VAN0016_361,temporal
VAN0016_404,temporal
VAN0016_198,temporal
VAN0016_352,temporal
VAN0016_196,temporal
VAN0016_215,temporal
VAN0016_329,temporal
VAN0016_440,temporal
VAN0016_95,temporal
VAN0016_63,temporal
VAN0016_514,temporal
VAN0016_438,temporal
VAN0016_13,temporal
VAN0016_199,temporal
VAN0016_418,temporal
VAN0016_73,temporal
VAN0016_213,temporal
VAN0016_372,temporal
VAN0016_48,temporal
VAN0016_427,temporal
VAN0016_292,temporal
VAN0016_301,temporal
VAN0016_249,temporal
VAN0016_370,temporal
VAN0016_464,temporal
VAN0016_34,temporal
VAN0016_389,temporal
VAN0016_149,temporal
VAN0016_276,temporal
VAN0016_457,temporal
VAN0016_365,temporal
VAN0016_236,temporal
VAN0016_214,temporal
VAN0016_52,temporal
VAN0016_282,temporal
VAN0016_96,temporal
VAN0016_456,temporal
VAN0016_80,temporal
VAN0016_351,temporal
VAN0016_82,temporal
VAN0016_122,temporal
VAN0016_174,temporal
VAN0016_442,temporal
VAN0016_507,temporal
VAN0016_257,temporal
VAN0016_483,temporal
VAN0016_461,temporal
VAN0016_116,temporal
VAN0016_315,temporal
VAN0016_278,temporal
VAN0016_350,temporal
VAN0016_462,temporal
VAN0016_146,temporal
VAN0016_241,temporal
VAN0016_262,temporal
VAN0016_24,temporal
VAN0016_297,temporal
VAN0016_101,temporal
VAN0016_392,temporal
VAN0016_162,temporal
VAN0016_263,temporal
VAN0016_120,temporal
VAN0016_118,temporal
VAN0016_228,temporal
VAN0016_231,temporal
VAN0016_336,temporal
VAN0016_191,temporal
VAN0016_455,temporal
VAN0016_328,temporal
VAN0016_497,temporal
VAN0016_173,temporal
VAN0016_141,temporal
VAN0016_92,temporal
VAN0016_237,temporal
VAN0016_300,temporal
VAN0016_284,temporal
VAN0016_20,temporal
VAN0016_281,temporal
VAN0016_205,temporal
VAN0016_443,temporal
VAN0016_482,temporal
VAN0016_332,temporal
VAN0016_70,temporal
VAN0016_306,temporal
VAN0016_340,temporal
VAN0016_154,temporal
VAN0016_123,temporal
VAN0016_187,temporal
VAN0016_388,temporal
VAN0016_183,temporal
VAN0016_342,temporal
VAN0016_43,temporal
VAN0016_11,temporal
VAN0016_76,temporal
VAN0021_1,temporal
WASH0003_66,temporal
WASH0003_65,temporal
WASH0003_50,temporal
WASH0003_44,temporal
WASH0003_57,temporal
WASH0003_19,temporal
WASH0003_24,temporal
WASH0003_9,temporal
WASH0003_25,temporal
WASH0003_0,temporal
WASH0003_36,temporal
WASH0003_52,temporal
WASH0004_3,temporal
YALE0008_15,temporal
YALE0019_195,temporal
YALE0019_18,temporal
YALE0019_61,temporal
MEG0009_54,central
MEG0009_10,central
MEG0009_59,central
MEG0009_22,central
MEG0009_70,central
MEG0009_43,central
MEG0009_55,central
MEG0009_46,central
MEG0009_34,central
MEG0009_90,central
MEG0009_57,central
MEG0009_5,central
MEG0009_17,central
MEG0009_26,central
MEG0009_76,central
MEG0009_45,central
MEG0009_51,central
MEG0009_73,central
MEG0009_95,central
MEG0009_86,central
MEG0009_7,central
MEG0009_16,central
MEG0009_23,central
MEG0009_28,central
MEG0009_44,central
MEG0009_18,central
MEG0009_92,central
MEG0009_29,central
MEG0024_91,central
UAB0001_7,central
UAB0005_495,central
UAB0005_615,central
UAB0005_373,central
UAB0005_210,central
UAB0005_382,central
UAB0005_485,central
UAB0005_366,central
UCSF0021_48,central
UCSF0021_30,central
UCSF0021_36,central
UCSF0021_47,central
UCSF0021_15,central
UCSF0021_2,central
UCSF0021_7,central
UCSF0021_0,central
UCSF0021_31,central
UCSF0021_44,central
UCSF0021_38,central
UCSF0021_28,central
UCSF0021_18,central
UCSF0021_17,central
VAN0016_212,central
VAN0016_163,central
VAN0016_360,central
WASH0003_63,central
WASH0003_58,central
